frame_idx,time_s,launcher_x_m,launcher_y_m,launcher_z_m,launcher_vx_mps,launcher_vy_mps,launcher_vz_mps,launcher_speed_mps,launcher_phi_deg,launcher_theta_deg,launcher_psi_deg,launcher_mass_kg,thrust_n,active_stage,satellite_x_m,satellite_y_m,satellite_z_m,launcher_visible,satellite_visible,launcher_impacted,satellite_released,recommended_fps
0,0,0,0,0,0,0,2,2,0,0,0,210000,0,,NaN,NaN,NaN,1,0,0,0,18
1,0.25,3.49011639118477e-12,-1.91956401515162e-12,1.22777269700626,1.39604655647391e-11,-7.67825606060649e-12,4.91109078802504,4.91109078802504,-6.96986323251838e-07,-1.26724786045789e-06,0,209747.183098592,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
2,0.5,-2.11053906924531e-08,1.77742156774681e-08,3.18492460149748,-8.4435523235377e-08,7.11045409659329e-08,7.82860761796488,7.82860761796489,0.000909043513029966,0.000154628790136671,0.000238955607373429,209494.366197183,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
3,0.75,3.62093756175829e-06,-2.12843077865973e-05,5.87305619341225,1.4568171809803e-05,-8.52083280090989e-05,10.7525263676591,10.7525263680066,0.0035727840231339,0.000670300682986408,0.000956274143345021,209241.549295775,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
4,1,2.30984666173958e-05,-0.000126488185522043,9.2937618453325,7.791011622255e-05,-0.000420815510941783,13.682822607681,13.6828226143739,0.00847847147425081,0.00178159436072211,0.00233753528677184,208988.732394366,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
5,1.25,8.46622692111439e-05,-0.000431040616407295,13.4486297451177,0.000246255210374993,-0.00121820972354101,16.6194715991407,16.6194716456125,0.0155809196687596,0.00374857929296977,0.00448515946555544,208735.915492958,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
6,1.5,0.00023483356820713,-0.00110237446270947,18.3392418169949,0.000600685195983943,-0.0026853353852087,19.5624482875091,19.5624484810393,0.0242870408373985,0.0068480934225174,0.00741176884692427,208483.098591549,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
7,1.75,0.000547023963884802,-0.00234610627122105,23.967173646229,0.00124876158271069,-0.00497492723404632,22.5117273169364,22.5117279012831,0.0336075447304696,0.0113675771506314,0.0110510691914989,208230.281690141,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
8,2,0.00112843649181127,-0.00438281264615756,30.3339944161644,0.00232565011170586,-0.00814682549974604,25.4672830797413,25.4672844889888,0.0424298564755342,0.0175998708560357,0.0152797585616127,207977.464788732,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
9,2.25,0.00212712327133887,-0.00742177926239785,37.4412668622879,0.00399474711811041,-0.0121558664649611,28.4290897844941,28.4290926639934,0.0498311219019602,0.0258386838518422,0.0199440076384519,207724.647887324,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
10,2.5,0.0037390947826977,-0.0116391128323899,45.2905472374948,0.00644788604543534,-0.0168693342799681,31.3971215008278,31.3971266947696,0.0553380558347948,0.0363745526760175,0.0248850807368557,207471.830985915,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
11,2.75,0.00621539385187905,-0.0171664024672188,53.8833852737491,0.00990519627672538,-0.0221091585393156,34.3713521450171,34.3713606830538,0.0590557468910133,0.0494912036022479,0.0299602470395015,207219.014084507,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
12,3,0.00986906366399579,-0.0240930556181629,63.2213241248107,0.014614679248467,-0.0277066126037765,37.3517554042464,37.3517685394398,0.0616260018068969,0.0654623015438028,0.0350568673625691,206966.197183099,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
13,3.25,0.0150819531562648,-0.0324814108321935,73.3059002823487,0.020851557969076,-0.0335534208561225,40.3383046301522,40.3383239742863,0.0640262234331039,0.0845486815217347,0.0400991214648308,206713.38028169,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
14,3.5,0.0223113173007427,-0.0423899342962258,84.138643466749,0.0289174565779115,-0.0396340938561293,43.3309727376011,43.3310005131132,0.0672673676307669,0.106996306782468,0.0450480713904848,206460.563380282,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
15,3.75,0.0320961885406342,-0.053897373654323,95.7210764978711,0.039139484959566,-0.0460297574323888,46.3297321244884,46.3297715229064,0.0720800149064203,0.133035136836708,0.0498965603900389,206207.746478873,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
16,4,0.0450635184074956,-0.0671204102065911,108.054715149595,0.0518693194674458,-0.0528921462090721,49.334554606897,49.3346102271654,0.0786815710756969,0.162878629168636,0.0546608377389951,205954.929577465,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
17,4.25,0.0619341033889022,-0.0822192333922665,121.141067989479,0.0674823399256263,-0.0603952927427016,52.3454113595363,52.3454896992726,0.0866935196578619,0.196723101910782,0.0593708439974342,205702.112676056,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
18,4.5,0.0835283014200571,-0.0993890033299449,134.98163620371,0.0863767921246194,-0.0686790797507138,55.3622728569207,55.3623828393464,0.0952329194656498,0.234746302174911,0.0640608746606992,205449.295774648,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
19,4.75,0.110771512796371,-0.118839311850747,149.577913404997,0.108972845505255,-0.0778012340832077,58.3851088051488,58.3852623382146,0.103150935789314,0.27710520464539,0.0687619460154899,205196.478873239,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
20,5,0.144699353278457,-0.140767272501507,164.931385412918,0.135711361928347,-0.0877118426030397,61.4138880316839,61.4141006130457,0.109348359133647,0.323933566879521,0.0734966892669385,204943.661971831,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
21,5.25,0.186462397456507,-0.165331731517228,181.043529984089,0.167052176712198,-0.0982578360628839,64.4485782846847,64.4488696871344,0.113075795669661,0.375339730718611,0.0782770640375438,204690.845070423,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
22,5.5,0.237330318708652,-0.192635745862614,197.915816463435,0.203471685008579,-0.109216057381545,67.4891459173856,67.4895410084552,0.114130685619798,0.431404863829495,0.0831046740760002,204438.028169014,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
23,5.75,0.298695199837241,-0.22272201230133,215.549705339632,0.245459524514358,-0.120345065754864,70.5355555047873,70.5360852591208,0.112893362802375,0.492181617670099,0.0879730511829563,204185.211267606,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
24,6,0.372073744954145,-0.255582064073252,233.946647721243,0.293514180467614,-0.13144020708769,73.5877695264445,73.588472269638,0.110191467532437,0.557693123248545,0.0928710092202989,203932.394366197,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
25,6.25,0.459108105577297,-0.291175910430928,253.108084795134,0.348137442492608,-0.142375385430702,76.6457482955624,76.6466711750481,0.107032466148928,0.627932288205319,0.097786103181461,203679.577464789,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
26,6.5,0.561565062214534,-0.32945560312494,273.035447365374,0.40982782654895,-0.153118770776049,79.7094502809604,79.7106509087605,0.10428297318862,0.702861417106618,0.102707369627537,203426.76056338,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
27,6.75,0.681333393001288,-0.370384929913835,293.730155578737,0.479073323147015,-0.163717307155581,82.7788328534518,82.7803810282685,0.102389476086334,0.782412201470442,0.107626839675159,203173.943661972,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
28,7,0.820419417774294,-0.413948462569414,315.193618910537,0.556344099092022,-0.174254130622317,85.8538533271985,85.8558327336398,0.101223144382694,0.866486097217476,0.112539724275436,202921.126760563,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
29,7.25,0.980940914587127,-0.460146251036748,337.427236414353,0.642085987251334,-0.184791153869333,88.9344700152657,88.9369798176314,0.100095087841602,0.954955028881246,0.117443564806904,202668.309859155,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
30,7.5,1.16511982717009,-0.508974675175979,360.432397148722,0.736715650331841,-0.195313696556928,92.0206429374763,92.0237992261567,0.0979383552748283,1.04766225708172,0.122336911284225,202415.492957746,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
31,7.75,1.37527435705177,-0.560398106072594,384.210480613499,0.840618119526741,-0.205693723586457,95.1123338591089,95.1162709574833,0.0936038835593686,1.14442316005471,0.127218161034979,202162.676056338,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
32,8,1.61381110114974,-0.614318864930221,408.762856993633,0.954146976391885,-0.21568303543051,98.2095055205343,98.2143772072714,0.0861840155587093,1.24502565621341,0.132085048110054,201909.85915493,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
33,8.25,1.88321781687337,-0.670553649982715,434.090887043783,1.0776268628945,-0.224939140209976,101.312120200599,101.318100933708,0.0752690756398264,1.34923006078402,0.136934971701138,201657.042253521,4500000,P120C,NaN,NaN,NaN,1,0,0,0,18
