cas,pid_active,kp_phi,ki_phi,kd_phi,kp_theta,ki_theta,kd_theta,kp_psi,ki_psi,kd_psi,ref_filter_tau_s,derivative_filter_tau_s,flight_time_s,range_xy_m,max_altitude_m,max_speed_mps,satellite_release_time_s,final_phi_deg,final_theta_deg,final_psi_deg,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,theta_rise_time_s,theta_overshoot_pct,theta_settling_time_s,theta_static_error_deg,theta_rms_error_deg,theta_command_effort_rms_nm,rms_phi_deg,rms_theta_deg,rms_psi_deg,max_Mphi_nm,max_Mtheta_nm,max_Mpsi_nm
sans_pid_reference,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2,362.25,139336.563917575,250780.104479367,3949.20045293222,158.75,173.164520006198,-12.9169261258987,-152.797170344994,183.644897545039,75,159.767048508402,NaN,0,NaN,55.8837504888006,34.7368278641107,0,NaN,NaN,NaN,NaN,NaN,NaN
reglage_actuel,1,640000,24000,220000,2200000,60000,220000,520000,18000,200000,1,0.2,365.5,248336.752854733,250075.506149603,4025.65129963047,162.25,171.288727625906,21.1894983882449,167.268732212676,181.779380666701,75,169.25856426096,131,0.127364324858113,152.5,-0.0507804826548082,1.99893608764743,84444.3649792348,0.912916345377566,1.99893608764743,0.00295835635932089,28051.2950206516,221397.886324871,64.4614672669306
theta_plus_agressif,1,640000,24000,220000,2500000,70000,180000,520000,18000,200000,0.9,0.16,366,251510.101554152,250727.114003858,4033.74526488469,162.5,173.882001831579,20.4502459596522,167.419877875666,180.564852596278,75,169.949355818185,133.75,0,154.5,0.162616634591323,1.75970132136089,85726.9531965986,0.921965099923111,1.75970132136089,0.00295785527225044,28256.4152386446,227341.364869589,64.4602520177522
theta_plus_amorti,1,640000,24000,220000,1900000,50000,280000,520000,18000,200000,1.1,0.24,365.5,245795.44641752,250313.080912926,4020.36337662155,162.25,177.50235072422,15.7233534877418,168.523842900958,181.263371986449,75,172.002905203873,132,0.564659068937505,152.75,-0.225131193446117,2.30751643374746,82819.4225628659,0.911349766734785,2.30751643374746,0.00296609895943249,28253.1809859928,220772.785609937,64.4626855439881
theta_plus_filtre,1,640000,24000,220000,2200000,60000,220000,520000,18000,200000,1.3,0.28,365.5,248336.752854733,250075.506149603,4025.65129963047,162.25,171.288727625906,21.1894983882449,167.268732212676,181.779380666701,75,169.25856426096,131,0.127364324858113,152.5,-0.0507804826548082,1.99893608764743,84444.3649792348,0.912916345377566,1.99893608764743,0.00295835635932089,28051.2950206516,221397.886324871,64.4614672669306
gains_moderes_uniformes,1,580000,20000,180000,1600000,40000,160000,460000,14000,170000,1,0.22,365.75,242766.770247826,250584.638243257,4014.06281020498,162.25,171.450101082849,20.2559205360197,169.1250987185,181.125481766171,75,172.345169309884,130,0.395736163669141,151.75,-0.157781268956377,2.6651669370119,79751.6452539865,0.914656189542813,2.6651669370119,0.00297624398937227,26425.1180084637,192127.642793954,62.9779364579286
